,회계구분,부서명,사업명,지출액(원),집행잔액(원),전년도(천원),그전년도(천원)
2021년,기후변화기금,기후환경본부 기후환경정책과,서울형 햇빛발전 지원," 624,259,400	 ","175,740,600",577582,
,기후변화기금,기후환경본부 기후환경정책과,에너지 자립마을 운영,"807,006,720","20,628,000",1262998,
,기후변화기금,기후환경본부 기후환경정책과,태양광 발전시설 설치자금 지원,"128,138,630","211,861,370",248135,
,기후변화기금,기후환경본부 기후환경정책과,태양광 신기술 실증단지 조성 및 운영,"600,000,000",0,3000000,
,기후변화기금,기후환경본부 기후환경정책과,민간주택 신재생에너지 보급,"4,180,655,700","2,723,719,300",8406096,
,일반회계,기후환경본부 녹색에너지과,태양광 발전소 및 홈페이지 관리 운영,"445,606,450","21,452,550",56613,
,일반회계,기후환경본부 녹색에너지과,공공시설 신재생에너지 보급,"2,845,527,220","668,880,970",2961731,
,일반회계,기후환경본부 녹색에너지과,공공·영구 임대주택 공용 태양광 설치,"482,000,000",0,964000,
,일반회계,기후환경본부 녹색에너지과,공공시설 신재생에너지 보급-환경기초시설(자체),"826,360,800",0,2163418,
,일반회계,기후환경본부 녹색에너지과,에너지자립마을 신재생에너지 융복합 사업,"54,953,500",500,0,
,일반회계,기후환경본부 녹색에너지과,공공시설 신재생에너지 보급-지역지원,"817,610,550","1,650,260,450",0,
,일반회계,기후환경본부 녹색에너지과,공공시설 신재생에너지 보급-환경기초시설,"1,413,987,480","618,012,520",0,
2022년,일반회계,기후환경본부 녹색에너지과,햇빛지도 및 태양광 모니터링 시스템 관리 운영,"93,399,900","849,100","445,607",
,일반회계,기후환경본부 녹색에너지과,공공시설 신재생에너지 보급 및 관리,"1,209,241,320","2,739,748,680",,
,일반회계,기후환경본부 녹색에너지과,신재생에너지 융복합 사업,"58,106,000",0,"54,954",
,일반회계,기후환경본부 녹색에너지과,신재생에너지 지역지원사업,"327,184,220","2,054,000","817,611",
,일반회계,기후환경본부 녹색에너지과,환경기초시설 신재생에너지 보급사업,"512,415,500","708,312,330","1,413,989",
,기후대응기금,기후환경본부 기후환경정책과,서울형 햇빛발전 지원,"604,162,650","25,837,350","624,259",
,기후대응기금,기후환경본부 기후환경정책과,태양광 신기술 실증단지 조성 및 운영,"1,200,000,000",0,"600,000",
,기후대응기금,기후환경본부 기후환경정책과,에너지 자립마을 운영,"509,759,000","136,241,000","807,007",
,기후대응기금,기후환경본부 기후환경정책과,태양광 발전시설 설치자금 지원,"6,356,250","13,643,750",128139,
,기후대응기금,기후환경본부 기후환경정책과,민간주택 신재생에너지 보급,"1,067,878,000","987,278,400",4180656,
2023년,기후대응기금,기후환경본부 기후환경정책과,민간건물 신재생에너지 보급,"454,216,000","1,166,542,000",1067878,4180656
,기후대응기금,기후환경본부 기후환경정책과,서울형 햇빛발전 지원,"463,563,560","36,436,440",604163,624259
,기후대응기금,기후환경본부 기후환경정책과,태양광 발전시설 설치자금 지원,"5,899,000","4,101,000",6356,128139
,일반회계,기후환경본부 녹색에너지과,환경기초시설 신재생에너지 보급사업,"1,960,120,000",0,512416,
,일반회계,기후환경본부 녹색에너지과,공공시설 신재생에너지 보급 및 관리,"2,961,716,030","4,253,046,870","1,209,241",
2024년,기후대응기금,기후환경본부 기후환경정책과,민간건물 신재생에너지 보급,"406,242,000","599,758,000",454216,
,기후대응기금,기후환경본부 기후환경정책과,서남 집단에너지시설(열병합발전) 2단계 사업추진 방안 마련 위탁 사업,"284,254,000","45,746,000",0,
,기후대응기금,기후환경본부 기후환경정책과,서울형 햇빛발전 지원,"347,507,310","152,492,690",463564,
,기후대응기금,기후환경본부 기후환경정책과,지열 운영비 시범 지원사업,0,0,0,
,기후대응기금,기후환경본부 기후환경정책과,태양광 발전시설 설치자금 지원,"5,104,950","895,050",5899,
,기후대응기금,기후환경본부 기후환경정책과,지열 설비 효율개선 사업,"280,910,000","182,090,000",0,
,일반회계,기후환경본부 녹색에너지과,환경기초시설 신재생에너지 보급사업,"487,700,000",0,1960120,512416
,일반회계,기후환경본부 녹색에너지과,공공시설 신재생에너지 보급 및 관리,"7,112,644,360","1,238,811,153",2962163,1209241
2025년,기후대응기금,기후환경본부 기후환경정책과,민간건물 신재생에너지 보급,"765,617,000","140,623,000",406242,454216
,기후대응기금,기후환경본부 기후환경정책과,서울형 햇빛발전 지원,"268,467,710","31,532,290",347507,
,기후대응기금,기후환경본부 기후환경정책과,태양광 발전시설 설치자금 지원,"2,805,970","394,030",5105,
,기후대응기금,기후환경본부 기후환경정책과,신재생에너지 공급인증서 판매보증금 지원,"14,452,200","547,800",0,
,기후대응기금,기후환경본부 기후환경정책과,지열 설비 효율개선 사업,"471,168,570","147,831,430",280910,
,일반회계,기후환경본부 녹색에너지과,신재생에너지 융복합지원,"261,857,000","5,769,000",0,52702
,일반회계,기후환경본부 녹색에너지과,재생열 공사 보조금 시범 지원,0,"2,000,000,000",0,
,일반회계,기후환경본부 녹색에너지과,공공시설 신재생에너지 보급 및 관리,"3,237,944,940","2,292,888,010",7112644,
